candidate_key,required_modules,object_type,local_expression,local_operation,source_primitives,within_reducer,across_reducer,unit,outer_transform,numeric_family_id,is_family_representative,feature_id,grid_dependent,max_grid_spread_pct_of_full_range,grid_stable
sn_i_bond|sq(h)|within=iqr|across=mean,A,sn_i_bond,sq(h),sq,h,iqr,mean,1,identity,3f58e9854f46,True,f002113,True,2.77155766454778,True
sn_i_bond|sq(h)|within=iqr|across=median,A,sn_i_bond,sq(h),sq,h,iqr,median,1,identity,aa9b80315e84,True,f002114,True,2.77188420968218,True
sn_i_bond|sq(h)|within=iqr|across=max,A,sn_i_bond,sq(h),sq,h,iqr,max,1,identity,b56ad56db891,True,f002115,True,2.52652334170022,True
sn_i_bond|sq(h)|within=iqr|across=range,A,sn_i_bond,sq(h),sq,h,iqr,range,1,identity,c5d9a5cdc3e2,True,f002116,True,4.89862603527097,True
sn_i_bond|sq(h)|within=iqr|across=site_cv,A,sn_i_bond,sq(h),sq,h,iqr,site_cv,1,identity,61dc2250e760,True,f002117,True,3.31954184225275,True
sn_i_bond|sq(h)|within=min|across=mean,A,sn_i_bond,sq(h),sq,h,min,mean,1,identity,05009f633080,True,f002118,True,4.98578826636858,True
sn_i_bond|sq(h)|within=min|across=median,A,sn_i_bond,sq(h),sq,h,min,median,1,identity,abb3bcbe7e95,True,f002119,True,4.9851691091688,True
sn_i_bond|sq(h)|within=max|across=mean,A,sn_i_bond,sq(h),sq,h,max,mean,1,identity,f4bfff7a75ab,True,f002123,True,0.754669550069978,True
sn_i_bond|sq(h)|within=max|across=median,A,sn_i_bond,sq(h),sq,h,max,median,1,identity,bf34bd899253,True,f002124,True,0.751680056851572,True
sn_i_bond|sq(h)|within=max|across=max,A,sn_i_bond,sq(h),sq,h,max,max,1,identity,b42dcade4936,True,f002125,True,0.942737695358853,True
sn_i_bond|sq(h)|within=max|across=range,A,sn_i_bond,sq(h),sq,h,max,range,1,identity,38852121d5c1,True,f002126,True,3.58873478266631,True
sn_i_bond|sq(h)|within=max|across=site_cv,A,sn_i_bond,sq(h),sq,h,max,site_cv,1,identity,fd3354194b4f,True,f002127,True,3.5589134258672,True
sn_i_bond|sq(h)|within=top2_deviation|across=mean,A,sn_i_bond,sq(h),sq,h,top2_deviation,mean,1,identity,884bd3951410,True,f002128,True,2.11219970367415,True
